repo,commit_hash,files_changed,lines_added,lines_deleted,total_changes
django,0ac548635eee801d5de49bec482b7b8e1e97ef59,8,94,159,253
django,55888655a269f41025405b9a1bff14117ae58e2a,2,18,6,24
django,16252e690720edace3e0e220b99d9141fe091fb4,4,19,3,22
django,17d644c8e257c2ea5cc738fb7a9c47989e29bf09,5,19,12,31
django,26b0e2bb92caf2d16cabe455792350f20d6f42ca,4,149,0,149
django,0ca3a0661173b02e2cbb0183d8543e790e7e4a55,1,10,4,14
django,bd4a562a8849147d4aa4bd42f7fdb1b51f89bb84,2,31,33,64
django,93540b34d4ef46f68df2c8bfe90447d0f649a852,7,119,29,148
django,ddb7236b0ae9be3163c90f799fb79396e9f61cc8,1,0,4,4
django,c02e65e34ba59968888c5d684e92a3fd5ce93300,2,13,0,13
django,d3f142f2cd36ba0458cc679397555bd5ee7db744,3,34,11,45
django,ea4920174e3231ff5b72b3ffb2b20432671047d9,1,4,4,8
django,fe42aa6100a2df4702e2399cffb375dbc986b036,1,22,26,48
django,d338c2243fa0786225e056c5d7003f7ad67d44de,4,100,152,252
django,dba622ebc1f6a6700b75303a65f8a334bd46bd8e,112,3024,1982,5006
django,d0d596042e958809a13b681d7a184ac7b95e0aa3,1,24,0,24
django,8d4ec9949aedc11a258d718689550eea61ae8d4c,2,13,0,13
django,50efb718b31333051bc2dcb06911b8fa1358c98c,6,119,6,125
django,5b90ca1e7591fa36fccf2d6dad67cf1477e6293e,5,45,1,46
django,cb1d2854ed2b13799f2b0cc6e04019df181bacd4,2,2,2,4
django,34186e731ca20a2344b1f88fd543a854d6b13a00,8,138,32,170
django,ce36c35e76f82f76cdfa5777456e794d481e5afc,1,1,1,2
django,e94b19f6abdda70689aa17e399ce5fdef7897674,1,1,1,2
django,3ea0195ca57790d7bd6921ecaa32312eabec78d0,1,2,2,4
django,7b32485ee98edf7e8b94ad9c8acdccee562bf216,1,1,1,2
django,bd7940982d6cab386dae7698ab097b91e5d8145e,1,7,0,7
django,333f88c7e9920063ec4584dec31f84436d28ae62,1,5,6,11
django,60b08ad5e1701b1a9b2a03e5897670d5af32d379,1,27,5,32
django,532c1058a7dd2616181259c94eb92f2477038d2c,2,152,1,153
django,18b13cf6c48ff0a20b2a74d3b90d1fc1602608e4,2,8,2,10
django,a8cf8c292cfee98fe6cc873ca5221935f1d02271,4,28,5,33
django,818a620f0847d6d9f4f641114627a9537e5fea0e,2,34,0,34
django,55af4749b9a48b2978e893e7d7be313c0b2abdb1,2,45,0,45
django,e48527f91d341c85a652499a5baaf725d36ae54f,13,26,0,26
django,a08f1693f37e9aae9eca395020cce0638cb5aa5f,1,2,0,2
django,e4c4a178aa642f8493b7ae2c0ad58527af51f67e,4,0,151,151
django,d62e811acfc6a056e847bfcc460092a98511ed00,4,31,2,33
django,70e93bc17bc00c4d1ade9ba600ffe180a6973d66,4,13,27,40
django,d86802f13fd821f006371b95d888d294297874fd,11,78,1,79
django,e3d8f557ff3bab2b37a55db83f71ceb90bc4ebc8,1,3,0,3
django,fab1f25d4ee159e256823ad427ec7074b83f0027,2,8,5,13
django,d08ae991a83950aba5043f5a34f5af12d2effe9e,1,7,7,14
django,2a6e0bd72d4a69725b957d6748a4b834f21b12b5,4,34,1,35
django,57c50d8c1996733cef45204ea069a2c01b2860cc,12,181,48,229
django,ec60df6d1ea8939a316d9b180faa0b4ef2e83606,1,1,2,3
django,789b07544798a9c83d0b74dce7c33fcd8d929a7d,4,7,8,15
django,e3038897992d1c47f70ffb84ec1109b8d6a68bb9,3,3,4,7
django,11f9fae0b79651291e89446c367d0d1223abbd20,2,15,10,25
django,a89183e63844a937aacd3ddb73c4952ef869d2cc,4,151,0,151
django,846613e521104fa2f2e1c2023e4a1a9886a2ff48,3,10,0,10
django,86b8058b40145fb5ba4fd859676225f533eca986,3,11,1,12
django,08f4901b3fd3f352ef9cea830d000aee73152556,1,3,6,9
django,e8958c4690faef27b6715524ecb5c49c3ecb6a09,11,55,3,58
django,09d4bf5cd9c95c588d3ec22edea5db1f5f146900,5,32,7,39
django,a523d5c8336f5f7f5e24a1cc8034ce65aedec3c6,4,366,0,366
django,971c76f735d2d61051d887b62a244d743794699a,1,1,1,2
django,3f15935420c0f45760804b807a78a26f4ffe28e4,1,7,0,7
django,be0620b49fce5ddd179356575603c4160390965e,1,19,0,19
django,7e4c4f43f51e829e6378a0305bfda81479a368ab,4,18,2,20
django,8ce3e1f9d0cdfdcba91e7e544804fa33f6fa9177,1,2,2,4
django,5834643f43a767fe19f2c6d10217b204e7584ec8,6,49,0,49
django,ff843bcbce1f7fc16fcc4d4810c221a2eb11c167,1,3,2,5
django,b1a65eac7c09250d36e12464fc8fff2a401246b6,5,34,6,40
django,ee2e0e202874db31449d3c7c292504652fa87f69,1,14,14,28
django,d9c94c59835ca2b6569583392bbf5c7f65a8e927,1,1,1,2
django,14fb36e0b083ea963220602d01386cc0fb2c40e4,2,10,4,14
django,07419875685997a30cd281396e0dc867e98aefe3,2,9,2,11
django,97acd4d2f92eef8c285bac070d437bf0fd52e071,3,44,8,52
django,e05f2a75695b5f5faa7682d4053db4776d4d6f93,4,40,22,62
django,b07298a73a8d444b3618aad8005055bee5ead8cb,3,71,7,78
django,3c005b5f79bf6d71f3f4c3692ed670e1722b0fb6,1,67,0,67
django,1ce6e78dd4beed702f15fa0be798dd17a15d4ba8,16,205,78,283
django,5c60763561c67924eff1069e1516b60a59d068d5,1,0,12,12
django,35f86b641a4eb26fa2b7c3842b6d374834a4ea6b,6,37,2,39
django,0eec2a163a4b2ea4e82c53ae1d7b71bf43ac911d,7,52,34,86
django,7e765a68598b2b798e49bf1f4b431a7bcac085a4,2,15,2,17
django,3aba1fced8254435b947467739721ec6b4fb865c,2,39,7,46
django,96ee097bd68a93e0f360326271ebe78553fae15b,2,20,1,21
django,1b539ef27e776bd6112e8f22e653feca5279c4fb,2,34,3,37
